"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ME","428","Numerical Methods in ME","2323","Mechanical & Industrial Engr","1","2","5","2","2","0","0","0","0","0","0","0","0","0","0","0","Aggarwal, Suresh K","12"
"ME","428","Numerical Methods in ME","2323","Mechanical & Industrial Engr","17","13","7","9","1","0","0","0","1","0","0","0","0","0","0","0","Komperda, Jonathan","48"
"ME","481","Additive Manufacturing Process","2323","Mechanical & Industrial Engr","18","24","4","3","1","0","0","0","0","0","0","0","0","0","0","1","Pan, Yayue","51"
"ME","494","Battery Systems and Control","2323","Mechanical & Industrial Engr","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yurkiv, Vitaliy Robert","12"
"ME","499","Prof Development Seminar","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","128","0","1","Reckinger, Scott J","129"
"ME","501","Advanced Thermodynamics","2323","Mechanical & Industrial Engr","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Brezinsky, Kenneth","13"
"ME","502","Applied Stress Analysis II","2323","Mechanical & Industrial Engr","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shahbazian-Yassar, Reza","13"
"ME","512","Automatic Control of Mech Syst","2323","Mechanical & Industrial Engr","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Cetin, Sabri","16"
"ME","517","Microfluidics","2323","Mechanical & Industrial Engr","13","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Xu, Jie","16"
"ME","521","Heat Conduction","2323","Mechanical & Industrial Engr","9","1","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Manafzadeh, Saeed","14"
"ME","547","Adv Concepts/Comptr-Aided Engr","2323","Mechanical & Industrial Engr","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","5","Hatami Marbini, Hamed","13"
"ME","594","Mathematical Methods Engineers","2323","Mechanical & Industrial Engr","14","7","3","1","0","0","0","0","0","0","0","0","0","0","0","0","Yarin, Alexander","25"
"ME","595","Mechanical Engineering Seminar","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","124","0","0","Lilley, Carmen M","124"
"ME","599","PhD Thesis Research","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Salehi-Khojin, Amin","10"
