"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"CME","497","Capstone Design","2737","Civil, Matls & Env Engineering","83","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Burke, Christopher B.","107"
"CME","507","Sustainable Transportation","2737","Civil, Matls & Env Engineering","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lin, Jie","11"
"CME","514","Sustainable Engineering","2737","Civil, Matls & Env Engineering","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Reddy, Krishna R","16"
"CME","519","Structural Steel Systems","2737","Civil, Matls & Env Engineering","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mahamid, Mustafa","21"
"CME","544","Structural Dynamics","2737","Civil, Matls & Env Engineering","12","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Ozevin, Didem","16"
"CME","586","Construction Regulations","2737","Civil, Matls & Env Engineering","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ataei, Hossein","26"
"CME","594","Adv Crystallography","2737","Civil, Matls & Env Engineering","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Daly, Matthew","13"
"CME","594","Pre Constr & Contract Administ","2737","Civil, Matls & Env Engineering","19","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Ataei, Hossein","24"
"CS","100","Discovering Computer Science","2699","Computer Science","22","7","10","2","11","0","0","0","0","0","0","0","0","0","0","12","Kidane, Ellen G","64"
"CS","107","Intro Comp & Programming","2699","Computer Science","35","29","11","10","8","0","0","0","1","0","0","0","0","0","0","5","Reckinger, Scott J","99"
"CS","109","Prog for Engineers w/MatLab","2699","Computer Science","152","61","18","6","20","0","0","0","0","0","0","0","0","0","0","9","Koehler, Adam Thomas","266"
"CS","111","Program Design I","2699","Computer Science","27","30","24","6","19","0","0","0","0","0","0","0","0","0","0","14","Hayes, David P","120"
"CS","111","Program Design I","2699","Computer Science","15","7","7","0","1","0","0","0","1","0","0","0","0","0","0","1","Reed, Dale F","32"
